date,symbol,name,exchange,industryCode,close,volume,traded_value_vnd,adv_apr_vnd,p_now,p_hist,p20
2026-04-01,CTG,Ngân hàng TMCP Công Thương Việt Nam,HSX,8350,34.75,8257700.0,286955075000.0,249687312000.0,0.3191735507925883,0.35,0.3345867753962941
2026-04-01,BSR,CTCP Lọc - Hóa dầu Bình Sơn,HSX,0530,26.3,23335900.0,613734170000.0,324404446000.0,0.21408036935242697,0.45,0.3320401846762135
2026-04-01,FCN,CTCP FECON,HSX,2350,13.1,1139300.0,14924830000.0,12992075250.0,0.41090589666420246,0.25,0.33045294833210126
2026-04-01,PHR,CTCP Cao su Phước Hòa,HSX,1350,62.2,120500.0,7495100000.0,11863825000.0,0.5598738078034896,0.1,0.3299369039017448
2026-04-01,VDS,CTCP Chứng khoán Rồng Việt,HSX,8780,14.95,1242400.0,18573880000.0,9485414250.0,0.15883741462145426,0.5,0.32941870731072714
2026-04-01,CTR,Tổng CTCP Công trình Viettel,HSX,2350,86.7,522700.0,45318090000.0,26258533500.0,0.5564209779090111,0.1,0.32821048895450555
2026-04-01,VJC,CTCP Hàng không VIETJET,HSX,5750,166.9,1686900.0,281543610000.0,229594823000.0,0.4560157832932785,0.2,0.32800789164663924
2026-04-01,LDG,CTCP Đầu tư LDG,HSX,8630,3.57,1086500.0,3878805000.0,2670602250.0,0.2960442921444121,0.35,0.32302214607220603
2026-04-01,PHP,CTCP Cảng Hải Phòng,UPCOM,2770,34.2,144400.0,4938480000.0,3828200500.0,0.4449029787061687,0.2,0.3224514893530843
2026-04-01,VHM,CTCP Vinhomes,HSX,8630,110.2,2031500.0,223871300000.0,847008785500.0,0.6422215672651972,0.0,0.3211107836325986
2026-04-01,PPT,CTCP Petro Times,HNX,0580,15.4,111000.0,1709400000.0,3335462000.0,0.5908075396117459,0.05,0.320403769805873
2026-04-01,BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,HSX,8630,54.1,679800.0,36777180000.0,27752453500.0,0.1874429107135277,0.45,0.3187214553567639
2026-04-01,PVC,Tổng Công ty Hóa chất và Dịch vụ dầu khí - CTCP,HNX,0570,16.7,2957300.0,49386910000.0,24199687500.0,0.38551515522857793,0.25,0.31775757761428897
2026-04-01,FRT,CTCP Bán lẻ Kỹ thuật số FPT,HSX,5370,157.0,163300.0,25638100000.0,48826186000.0,0.48447013863239885,0.15,0.31723506931619944
2026-04-01,LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,HNX,2350,101.4,15700.0,1591980000.0,2065912000.0,0.3817207780364407,0.25,0.31586038901822033
2026-04-01,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HSX,8350,59.0,8254700.0,487027300000.0,483473008000.0,0.37987895774102254,0.25,0.31493947887051127
2026-04-01,FUEVFVND,Quỹ ETF DCVFMVN DIAMOND,HSX,8990,37.46,250800.0,9394968000.0,34090812750.0,0.5227177976136563,0.1,0.31135889880682815
2026-04-01,MBS,CTCP Chứng khoán MB,HNX,8780,24.5,12045300.0,295109850000.0,80733368000.0,0.3207953452434281,0.3,0.310397672621714
2026-04-01,PVS,Tổng CTCP Dịch vụ Kỹ thuật Dầu khí Việt Nam,HNX,0570,40.2,7800700.0,313588140000.0,162602149000.0,0.21712410512989436,0.4,0.3085620525649472
2026-04-01,LHG,CTCP Long Hậu,HSX,8630,28.4,116200.0,3300080000.0,2052884000.0,0.5131484581271709,0.1,0.30657422906358545
2026-04-01,OIL,Tổng Công ty Dầu Việt Nam - CTCP,UPCOM,0530,15.2,3762700.0,57193040000.0,41786704500.0,0.11163016309609747,0.5,0.3058150815480487
2026-04-01,DTD,CTCP Đầu tư Phát triển Thành Đạt,HNX,2350,16.4,199000.0,3263600000.0,4893936000.0,0.395172663335296,0.2,0.29758633166764803
2026-04-01,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,HSX,1350,28.9,8083700.0,233618930000.0,125417860000.0,0.4951618133459983,0.1,0.29758090667299913
2026-04-01,VGT,Tập đoàn Dệt may Việt Nam,UPCOM,3760,12.3,1163100.0,14306130000.0,8334332000.0,0.19500045472372568,0.4,0.2975002273618629
2026-04-01,QNS,CTCP Đường Quảng Ngãi,UPCOM,3570,47.7,50700.0,2418390000.0,5917604000.0,0.5948128637180475,0.0,0.29740643185902377
2026-04-01,SZC,CTCP Sonadezi Châu Đức,HSX,8630,29.15,651100.0,18979565000.0,18207744750.0,0.28994091485589996,0.3,0.29497045742795
2026-04-01,VPI,CTCP Phát triển Bất động sản Văn Phú,HSX,8630,58.4,1262200.0,73712480000.0,168903574500.0,0.5878037834839043,0.0,0.29390189174195214
2026-04-01,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HSX,8350,30.8,8787500.0,270655000000.0,457963616750.0,0.28654844912854227,0.3,0.2932742245642711
2026-04-01,CEO,CTCP Tập đoàn C.E.O,HNX,8630,16.7,11885800.0,198492860000.0,204707999000.0,0.28633209990726277,0.3,0.2931660499536314
2026-04-01,BWE,CTCP - Tổng Công Ty Nước - Môi Trường Bình Dương,HSX,7570,43.05,498200.0,21447510000.0,11161299500.0,0.5235819664396325,0.05,0.2867909832198163
2026-04-01,D2D,CTCP Phát triển Đô thị Công nghiệp Số 2,HSX,8630,36.75,82500.0,3031875000.0,2139230250.0,0.5701523804520818,0.0,0.2850761902260409
2026-04-01,KSV,Tổng Công ty Khoáng sản TKV - CTCP,HNX,1770,163.5,42900.0,7014150000.0,4226229000.0,0.5161115721247607,0.05,0.28305578606238035
2026-04-01,MWG,CTCP Đầu tư Thế giới Di động,HSX,5370,82.4,5736600.0,472695840000.0,532960338500.0,0.4136780564266185,0.15,0.28183902821330925
2026-04-01,PVP,CTCP Vận tải Dầu khí Thái Bình Dương,HSX,2770,14.9,191800.0,2857820000.0,12837053250.0,0.2128555798056074,0.35,0.2814277899028037
