date,symbol,name,exchange,industryCode,close,volume,traded_value_vnd,adv_apr_vnd
2026-04-01,OCB,Ngân hàng TMCP Phương Đông,HSX,8350,11.25,759500.0,8544375000.0,17786259000.0
2026-04-01,PPC,CTCP Nhiệt điện Phả Lại,HSX,7530,10.4,816800.0,8494720000.0,4142745250.0
2026-04-01,HQC,CTCP Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,HSX,8630,2.62,3228400.0,8458408000.0,6480416850.0
2026-04-01,DSE,CTCP Chứng khoán DNSE,HSX,8780,23.75,353100.0,8386125000.0,8906064000.0
2026-04-01,TOS,CTCP Dịch vụ biển Tân Cảng,UPCOM,2770,172.9,47400.0,8195460000.0,7608924000.0
2026-04-01,BFC,CTCP Phân bón Bình Điền,HSX,1350,55.5,145400.0,8069700000.0,14150434000.0
2026-04-01,PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP,HNX,1350,23.2,344000.0,7980800000.0,6929529500.0
2026-04-01,F88,CTCP Đầu tư F88,UPCOM,8770,134.6,58000.0,7806800000.0,13549421500.0
2026-04-01,PHR,CTCP Cao su Phước Hòa,HSX,1350,62.2,120500.0,7495100000.0,11863825000.0
2026-04-01,VGS,CTCP Ống thép Việt - Đức VG PIPE,HNX,1750,24.4,292900.0,7146760000.0,9638568500.0
2026-04-01,AAV,CTCP AAV Group,HNX,8630,8.6,827800.0,7119080000.0,8279083500.0
2026-04-01,TV1,CTCP Tư vấn Xây dựng Điện 1,UPCOM,2790,36.8,193100.0,7106080000.0,3951239000.0
2026-04-01,AAA,CTCP Nhựa An Phát Xanh,HSX,1350,7.08,993500.0,7033980000.0,6598105950.0
2026-04-01,KSV,Tổng Công ty Khoáng sản TKV - CTCP,HNX,1770,163.5,42900.0,7014150000.0,4226229000.0
2026-04-01,SCS,CTCP Dịch vụ Hàng hóa Sài Gòn,HSX,2770,54.3,128500.0,6977550000.0,6927218500.0
